manual,ai_model,strict_accuracy,strict_percent,normalized_accuracy,normalized_percent
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,11/15,73.33%,11/15,73.33%
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=Status word),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=PSTX),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Parity (subnetwork.properties.parity=0),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Parity (subnetwork.properties.parity=not found),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Expected: Stop Bits (subnetwork.properties.stopBits=0),,,
1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,gpt-5.1,Predicted: Stop Bits (subnetwork.properties.stopBits=not found),,,
9203_mcm_101.pdf,gpt-5.1,6/15,40.00%,7/15,46.67%
9203_mcm_101.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=4511),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=9203MCM101),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Node Address (subnetwork.nodes[0].properties.nodeAddress=247),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Node Address (subnetwork.nodes[0].properties.nodeAddress=1),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=4),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=3),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=4),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=3),,,
9203_mcm_101.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Password),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=PASSWORD),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=19200),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=115200),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Parity (subnetwork.properties.parity=2),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Parity (subnetwork.properties.parity=0),,,
9203_mcm_101.pdf,gpt-5.1,Expected: Stop Bits (subnetwork.properties.stopBits=0),,,
9203_mcm_101.pdf,gpt-5.1,Predicted: Stop Bits (subnetwork.properties.stopBits=not found),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,8/15,53.33%,8/15,53.33%
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=Displayed Value),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=APM-MAX),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=0),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=115200),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=192000),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Physical Standard (subnetwork.properties.physicalStandard=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Physical Standard (subnetwork.properties.physicalStandard=not found),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Expected: Stop Bits (subnetwork.properties.stopBits=1),,,
APM-MAX-Modbus-Communications.pdf,gpt-5.1,Predicted: Stop Bits (subnetwork.properties.stopBits=0),,,
a_si370010--_en.pdf,gpt-5.1,6/16,37.50%,6/16,37.50%
a_si370010--_en.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=si370010),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=not found),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=16),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=not found),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=1792),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=not found),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Request Quantity (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[3].properties.data=2),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Request Quantity (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[3].properties.data=not found),,,
a_si370010--_en.pdf,gpt-5.1,Expected: subnetwork.nodes[0].transactions[0].frames[0].frameObjects[5].properties.dataLength=4,,,
a_si370010--_en.pdf,gpt-5.1,Predicted: subnetwork.nodes[0].transactions[0].frames[0].frameObjects[5].properties.dataLength — not found,,,
a_si370010--_en.pdf,gpt-5.1,Expected: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=16),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=not found),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=1792),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=not found),,,
a_si370010--_en.pdf,gpt-5.1,Expected: subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.data=2,,,
a_si370010--_en.pdf,gpt-5.1,Predicted: subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.data — not found,,,
a_si370010--_en.pdf,gpt-5.1,Expected: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Device state),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=not found),,,
a_si370010--_en.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=19200),,,
a_si370010--_en.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=not found),,,
MN040018_EN.pdf,gpt-5.1,9/15,60.00%,9/15,60.00%
MN040018_EN.pdf,gpt-5.1,Expected: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=1),,,
MN040018_EN.pdf,gpt-5.1,Predicted: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=0),,,
MN040018_EN.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=Fan Runtime),,,
MN040018_EN.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=DA1),,,
MN040018_EN.pdf,gpt-5.1,Expected: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=19),,,
MN040018_EN.pdf,gpt-5.1,Predicted: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=27),,,
MN040018_EN.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=9600),,,
MN040018_EN.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=115200),,,
MN040018_EN.pdf,gpt-5.1,Expected: Data Bits (subnetwork.properties.dataBits=1),,,
MN040018_EN.pdf,gpt-5.1,Predicted: Data Bits (subnetwork.properties.dataBits=not found),,,
MN040018_EN.pdf,gpt-5.1,Expected: Physical Standard (subnetwork.properties.physicalStandard=0),,,
MN040018_EN.pdf,gpt-5.1,Predicted: Physical Standard (subnetwork.properties.physicalStandard=1),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,3/17,17.65%,4/17,23.53%
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Addressing Mode (subnetwork.nodes[0].properties.modbusAddressingMode=1),,,
