timestamp,method,manual,pass,input_tokens,output_tokens,total_tokens,model
2026-04-29T09:19:13,naive_user,s5gbm_modbus-installation-kep-x.pdf,main,13649,237,13886,gpt-5.1-2025-11-13
2026-04-29T09:19:22,configurator_user,s5gbm_modbus-installation-kep-x.pdf,main,13919,92,14011,gpt-5.1-2025-11-13
2026-04-29T09:19:34,engineered_prompt,s5gbm_modbus-installation-kep-x.pdf,main,18122,253,18375,gpt-5.1-2025-11-13
2026-04-29T09:19:49,naive_rag,s5gbm_modbus-installation-kep-x.pdf,main,14468,253,14721,gpt-5.1-2025-11-13
2026-04-29T09:19:59,modular_rag,s5gbm_modbus-installation-kep-x.pdf,comm,5509,53,5562,gpt-5.1-2025-11-13
2026-04-29T09:20:02,modular_rag,s5gbm_modbus-installation-kep-x.pdf,transaction,11657,209,11866,gpt-5.1-2025-11-13
2026-04-29T09:20:12,naive_user,Instruction_Manual_VA_5xx_Modbus_RTU_Slave_Installation.pdf,main,15098,198,15296,gpt-5.1-2025-11-13
2026-04-29T09:20:21,configurator_user,Instruction_Manual_VA_5xx_Modbus_RTU_Slave_Installation.pdf,main,15368,93,15461,gpt-5.1-2025-11-13
2026-04-29T09:20:30,engineered_prompt,Instruction_Manual_VA_5xx_Modbus_RTU_Slave_Installation.pdf,main,19571,259,19830,gpt-5.1-2025-11-13
2026-04-29T09:20:41,naive_rag,Instruction_Manual_VA_5xx_Modbus_RTU_Slave_Installation.pdf,main,14194,259,14453,gpt-5.1-2025-11-13
2026-04-29T09:20:49,modular_rag,Instruction_Manual_VA_5xx_Modbus_RTU_Slave_Installation.pdf,comm,5552,52,5604,gpt-5.1-2025-11-13
2026-04-29T09:20:53,modular_rag,Instruction_Manual_VA_5xx_Modbus_RTU_Slave_Installation.pdf,transaction,11145,216,11361,gpt-5.1-2025-11-13
2026-04-29T09:21:02,naive_user,man--thermoMETER-ct-ctlaser-modbus-rtu-commands--en.pdf,main,2418,103,2521,gpt-5.1-2025-11-13
2026-04-29T09:21:11,configurator_user,man--thermoMETER-ct-ctlaser-modbus-rtu-commands--en.pdf,main,2688,93,2781,gpt-5.1-2025-11-13
2026-04-29T09:21:19,engineered_prompt,man--thermoMETER-ct-ctlaser-modbus-rtu-commands--en.pdf,main,6891,257,7148,gpt-5.1-2025-11-13
2026-04-29T09:21:28,naive_rag,man--thermoMETER-ct-ctlaser-modbus-rtu-commands--en.pdf,main,13896,257,14153,gpt-5.1-2025-11-13
2026-04-29T09:21:37,modular_rag,man--thermoMETER-ct-ctlaser-modbus-rtu-commands--en.pdf,comm,4688,52,4740,gpt-5.1-2025-11-13
2026-04-29T09:21:40,modular_rag,man--thermoMETER-ct-ctlaser-modbus-rtu-commands--en.pdf,transaction,9151,211,9362,gpt-5.1-2025-11-13
2026-04-29T09:21:50,naive_user,Modbus-RTU-Manual.2022.pdf,main,7869,173,8042,gpt-5.1-2025-11-13
2026-04-29T09:21:57,configurator_user,Modbus-RTU-Manual.2022.pdf,main,8139,87,8226,gpt-5.1-2025-11-13
2026-04-29T09:22:05,engineered_prompt,Modbus-RTU-Manual.2022.pdf,main,12342,249,12591,gpt-5.1-2025-11-13
2026-04-29T09:22:15,naive_rag,Modbus-RTU-Manual.2022.pdf,main,14931,250,15181,gpt-5.1-2025-11-13
2026-04-29T09:22:26,modular_rag,Modbus-RTU-Manual.2022.pdf,comm,5026,51,5077,gpt-5.1-2025-11-13
2026-04-29T09:22:29,modular_rag,Modbus-RTU-Manual.2022.pdf,transaction,11287,206,11493,gpt-5.1-2025-11-13
2026-04-29T09:22:38,naive_user,PM5100.pdf,main,37746,139,37885,gpt-5.1-2025-11-13
2026-04-29T09:22:47,configurator_user,PM5100.pdf,main,38016,90,38106,gpt-5.1-2025-11-13
2026-04-29T09:22:56,engineered_prompt,PM5100.pdf,main,42219,259,42478,gpt-5.1-2025-11-13
2026-04-29T09:23:05,naive_rag,PM5100.pdf,main,12113,260,12373,gpt-5.1-2025-11-13
2026-04-29T09:23:15,modular_rag,PM5100.pdf,comm,4116,52,4168,gpt-5.1-2025-11-13
2026-04-29T09:23:18,modular_rag,PM5100.pdf,transaction,9550,216,9766,gpt-5.1-2025-11-13
2026-04-29T10:01:10,modular_rag,1815243_C5 ....pdf,comm,5292,54,5346,gpt-5.1-2025-11-13
2026-04-29T10:01:16,modular_rag,1815243_C5 ....pdf,transaction,14015,211,14226,gpt-5.1-2025-11-13
2026-04-29T10:01:25,modular_rag,1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,comm,6331,53,6384,gpt-5.1-2025-11-13
2026-04-29T10:01:29,modular_rag,1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,transaction,11411,208,11619,gpt-5.1-2025-11-13
2026-04-29T10:01:39,modular_rag,20231204_Userguide_ModbusRTU_EN.pdf ...pdf,comm,6741,51,6792,gpt-5.1-2025-11-13
2026-04-29T10:01:42,modular_rag,20231204_Userguide_ModbusRTU_EN.pdf ...pdf,transaction,12239,216,12455,gpt-5.1-2025-11-13
2026-04-29T10:01:51,modular_rag,3S_RH_AT_PS_User_Manual ...pdf,comm,5433,51,5484,gpt-5.1-2025-11-13
2026-04-29T10:01:55,modular_rag,3S_RH_AT_PS_User_Manual ...pdf,transaction,8634,219,8853,gpt-5.1-2025-11-13
2026-04-29T10:02:04,modular_rag,4104_mcm_100.pdf ...pdf,comm,5719,52,5771,gpt-5.1-2025-11-13
2026-04-29T10:02:09,modular_rag,4104_mcm_100.pdf ...pdf,transaction,14540,208,14748,gpt-5.1-2025-11-13
2026-04-29T10:02:18,modular_rag,7500f_man_3.pdf,comm,5357,51,5408,gpt-5.1-2025-11-13
2026-04-29T10:02:22,modular_rag,7500f_man_3.pdf,transaction,10828,209,11037,gpt-5.1-2025-11-13
2026-04-29T10:02:30,modular_rag,9202_mcm_100.pdf,comm,5593,53,5646,gpt-5.1-2025-11-13
2026-04-29T10:02:35,modular_rag,9202_mcm_100.pdf,transaction,13471,207,13678,gpt-5.1-2025-11-13
2026-04-29T10:02:47,modular_rag,9203_mcm_101.pdf,comm,5491,52,5543,gpt-5.1-2025-11-13
2026-04-29T10:02:51,modular_rag,9203_mcm_101.pdf,transaction,10996,210,11206,gpt-5.1-2025-11-13
